Comunidades y Ciudades Autónomas,Especies animales,
01 Andalucia,1 Bovinos,5.1
01 Andalucía,2 Ovinos,10.174
01 Andalucía,3 Caprinos,7.907
01 Andalucía,4 Porcinos,5.324
01 Andalucía,5 Aves de corral,1.703
01 Andalucía,6 Conejas madres,81
02 Aragón,1 Bovinos,2.571
02 Aragón,2 Ovinos,2.579
02 Aragón,3 Caprinos,1.364
02 Aragón,4 Porcinos,1.342
02 Aragón,5 Aves de corral,486
02 Aragón,6 Conejas madres,126
"03 Asturias, Principado de",1 Bovinos,12.626
"03 Asturias, Principado de",2 Ovinos,2.391
"03 Asturias, Principado de",3 Caprinos,1.141
"03 Asturias, Principado de",4 Porcinos,730
"03 Asturias, Principado de",5 Aves de corral,724
"03 Asturias, Principado de",6 Conejas madres,82
"04 Balears, Illes",1 Bovinos,543
"04 Balears, Illes",2 Ovinos,2.823
"04 Balears, Illes",3 Caprinos,665
"04 Balears, Illes",4 Porcinos,1.346
"04 Balears, Illes",5 Aves de corral,410
"04 Balears, Illes",6 Conejas madres,184
05 Canarias,1 Bovinos,547
05 Canarias,2 Ovinos,710
05 Canarias,3 Caprinos,1.122
05 Canarias,4 Porcinos,331
05 Canarias,5 Aves de corral,386
05 Canarias,6 Conejas madres,53
06 Cantabria,1 Bovinos,5.955
06 Cantabria,2 Ovinos,1.359
06 Cantabria,3 Caprinos,863
06 Cantabria,4 Porcinos,387
06 Cantabria,5 Aves de corral,345
06 Cantabria,6 Conejas madres,67
07 Castilla y León,1 Bovinos,12.529
07 Castilla y León,2 Ovinos,7.273
07 Castilla y León,3 Caprinos,1.604
07 Castilla y León,4 Porcinos,4.643
07 Castilla y León,5 Aves de corral,1.377
07 Castilla y León,6 Conejas madres,314
08 Castilla - La Mancha,1 Bovinos,2.564
08 Castilla - La Mancha,2 Ovinos,4.54
08 Castilla - La Mancha,3 Caprinos,2.259
08 Castilla - La Mancha,4 Porcinos,1.032
08 Castilla - La Mancha,5 Aves de corral,560
08 Castilla - La Mancha,6 Conejas madres,76
09 Cataluña,1 Bovinos,4.223
09 Cataluña,2 Ovinos,1.92
09 Cataluña,3 Caprinos,1.379
09 Cataluña,4 Porcinos,4.435
09 Cataluña,5 Aves de corral,2.387
09 Cataluña,6 Conejas madres,441
10 Comunitat Valenciana,1 Bovinos,484
10 Comunitat Valenciana,2 Ovinos,907
10 Comunitat Valenciana,3 Caprinos,777
10 Comunitat Valenciana,4 Porcinos,752
10 Comunitat Valenciana,5 Aves de corral,604
10 Comunitat Valenciana,6 Conejas madres,151
11 Extremadura,1 Bovinos,7.503
11 Extremadura,2 Ovinos,9.953
11 Extremadura,3 Caprinos,3.218
11 Extremadura,4 Porcinos,5.88
11 Extremadura,5 Aves de corral,840
11 Extremadura,6 Conejas madres,20
12 Galicia,1 Bovinos,28.283
12 Galicia,2 Ovinos,9.142
12 Galicia,3 Caprinos,3.117
12 Galicia,4 Porcinos,6.902
12 Galicia,5 Aves de corral,6.723
12 Galicia,6 Conejas madres,847
"13 Madrid, Comunidad de",1 Bovinos,1.125
"13 Madrid, Comunidad de",2 Ovinos,475
"13 Madrid, Comunidad de",3 Caprinos,215
"13 Madrid, Comunidad de",4 Porcinos,42
"13 Madrid, Comunidad de",5 Aves de corral,82
"13 Madrid, Comunidad de",6 Conejas madres,7
"14 Murcia, Región de",1 Bovinos,222
"14 Murcia, Región de",2 Ovinos,1.037
"14 Murcia, Región de",3 Caprinos,1.248
"14 Murcia, Región de",4 Porcinos,419
"14 Murcia, Región de",5 Aves de corral,202
"14 Murcia, Región de",6 Conejas madres,34
"15 Navarra, Comunidad Foral de",1 Bovinos,1.412
"15 Navarra, Comunidad Foral de",2 Ovinos,1.831
"15 Navarra, Comunidad Foral de",3 Caprinos,436
"15 Navarra, Comunidad Foral de",4 Porcinos,730
"15 Navarra, Comunidad Foral de",5 Aves de corral,272
"15 Navarra, Comunidad Foral de",6 Conejas madres,40
16 País Vasco,1 Bovinos,4.586
16 País Vasco,2 Ovinos,3.773
16 País Vasco,3 Caprinos,1.68
16 País Vasco,4 Porcinos,291
16 País Vasco,5 Aves de corral,1.686
16 País Vasco,6 Conejas madres,263
"17 Rioja, La",1 Bovinos,284
"17 Rioja, La",2 Ovinos,244
"17 Rioja, La",3 Caprinos,160
"17 Rioja, La",4 Porcinos,87
"17 Rioja, La",5 Aves de corral,96
"17 Rioja, La",6 Conejas madres,22